,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Total_Stops,Price,Duration_Hours,Duration_Min,Day_Of_Journey,Month_Of_Journey,Dep_hour,Dep_min,Arrival_hour,Arrival_min
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3897,2,50,24,3,22,20,1,10
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,7662,7,25,1,5,5,50,13,15
2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13882,19,0,9,6,9,25,4,25
3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6218,5,25,12,5,18,5,23,30
4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13302,4,45,1,3,16,50,21,35
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3873,2,25,24,6,9,0,11,25
6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11087,15,30,12,3,18,55,10,25
7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,22270,21,5,1,3,8,0,5,5
8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11087,25,30,12,3,8,55,10,25
9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8625,7,50,27,5,11,25,19,15
10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8907,13,15,1,6,9,45,23,0
11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4174,2,35,18,4,20,20,22,55
12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4667,2,15,24,6,11,40,13,55
13,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9663,12,10,9,5,21,10,9,20
14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4804,2,35,24,4,17,15,19,50
15,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,14011,26,35,3,3,16,40,19,15
16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5830,4,30,15,4,8,45,13,15
17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10262,22,35,12,6,14,0,12,35
18,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13381,23,0,12,6,20,15,19,15
19,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12898,20,35,27,5,16,0,12,35
20,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,19495,5,10,6,3,14,10,19,20
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6955,15,20,21,3,22,0,13,20
22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3943,2,50,3,4,4,0,6,50
23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4823,2,55,1,5,18,55,21,50
24,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7757,13,20,6,5,18,55,8,15
25,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13292,15,10,9,6,21,25,12,35
26,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8238,5,45,1,6,21,50,3,35
27,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7682,5,55,15,5,7,0,12,55
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4668,2,50,18,6,9,45,12,35
29,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3687,2,15,15,6,7,5,9,20
30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3687,2,15,18,6,7,5,9,20
31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,13227,13,25,1,5,9,50,23,15
32,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4423,2,50,6,4,4,0,6,50
33,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10919,22,0,15,6,14,35,12,35
34,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12373,5,30,18,5,7,5,12,35
35,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5894,10,25,27,6,10,35,21,0
36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4649,5,15,21,5,15,5,20,20
37,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6245,2,30,18,5,14,15,16,45
38,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,19225,6,15,6,3,7,0,13,15
39,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,14924,11,55,3,6,7,5,19,0
40,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9646,11,5,21,5,7,5,18,10
41,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8714,8,30,15,3,6,45,15,15
42,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12373,22,5,18,5,20,55,19,0
43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,2,45,6,5,11,10,13,55
44,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13062,12,0,21,3,9,0,21,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3527,2,50,24,3,5,45,8,35
46,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3943,2,50,27,5,4,0,6,50
47,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4667,2,15,3,5,11,40,13,55
48,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6117,16,5,15,5,19,0,11,5
49,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11150,19,55,27,6,23,5,19,0
50,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7202,3,15,9,3,11,0,14,15
51,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,12121,25,20,1,5,9,35,10,55
52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4377,2,50,24,3,22,20,1,10
53,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3943,3,0,18,6,21,15,0,15
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4483,2,50,3,4,23,55,2,45
55,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14231,16,15,24,3,19,45,12,0
56,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,17345,15,5,1,3,8,50,23,55
57,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7414,2,15,6,3,7,5,9,20
58,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8073,6,30,6,5,19,0,1,30
59,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,12395,25,5,6,3,15,40,16,45
60,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,8366,12,25,6,6,9,25,21,50
61,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5117,27,20,3,4,6,5,9,25
62,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12524,10,15,3,6,8,45,19,0
63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7191,10,30,15,5,15,0,1,30
64,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3687,2,15,24,5,7,5,9,20
65,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5894,10,25,24,6,10,35,21,0
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5403,2,50,24,4,9,45,12,35
67,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3625,1,30,6,5,13,55,15,25
68,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10861,13,20,21,5,5,55,19,15
